Id,Time(seconds),Time(text),Latitude,Longitude,FlightMode,Altitude(feet),Altitude(meters),VpsAltitude(feet),VpsAltitude(meters),HSpeed(mph),HSpeed(m/s),GpsSpeed(mph),GpsSpeed(m/s),HomeDistance(feet),HomeDistance(meters),HomeLatitude,HomeLongitude,GpsCount,GpsLevel,BatteryPower(%),BatteryVoltage,BatteryVoltageDeviation,BatteryCell1Voltage,BatteryCell2Voltage,BatteryCell3Voltage,BatteryCell4Voltage,VelocityX,VelocityY,VelocityZ,Pitch,Roll,Yaw,Yaw(360),RcAileron,RcElevator,RcGyro,RcRudder,RcThrottle,NonGpsError,GoHomeStatus,AppTip,AppWarning,AppMessage
1,0.4,0m 0.4s,-23.74614658,-46.57695893,Starting Motors,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,3.1,0.9,-23.74613843,-46.57695647,13,4,53,15.489,0.005,3.87,3.875,3.872,3.872,0,0,0,0.6,2,-150.4,209.6,0,0,0,0,0,,,,Your aircraft is flying in an Altitude Zone (150 m). Please fly with caution.,
2,0.5,0m 0.5s,-23.7461467,-46.57695895,Starting Motors,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,3.1,1.0,-23.74613843,-46.57695647,13,4,53,15.489,0.005,3.87,3.875,3.872,3.872,0,0,0,0.6,2,-150.5,209.5,0,0,0,0,0,,,,,
3,0.6,0m 0.6s,-23.74614686,-46.57695896,Starting Motors,0.0,0.0,0.3,0.1,0.0,0.0,1.1,0.5,3.2,1.0,-23.74613843,-46.57695647,13,4,53,15.489,0.005,3.87,3.875,3.872,3.872,0,0,0,0.6,2,-150.5,209.5,0,0,0,0,0,,,,,
4,0.7,0m 0.7s,-23.74614699,-46.57695894,Starting Motors,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,3.2,1.0,-23.74613843,-46.57695647,13,4,53,15.489,0.005,3.87,3.875,3.872,3.872,0,0,0,0.6,2,-150.5,209.5,0,0,0,0,0,,,,,
5,0.8,0m 0.8s,-23.74614715,-46.57695893,Starting Motors,0.0,0.0,0.3,0.1,0.0,0.0,1.1,0.5,3.3,1.0,-23.74613843,-46.57695647,13,4,53,15.489,0.005,3.87,3.875,3.872,3.872,0,0,0,0.6,2,-150.5,209.5,0,0,0,0,0,,,,,
6,0.9,0m 0.9s,-23.74614729,-46.5769589,Starting Motors,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,3.3,1.0,-23.74613843,-46.57695647,13,4,53,15.489,0.005,3.87,3.875,3.872,3.872,0,0,0,0.6,2,-150.7,209.3,0,0,0,0,0,,,,,
7,1,0m 1s,-23.74614746,-46.57695888,Starting Motors,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,3.4,1.0,-23.74613843,-46.57695647,13,4,53,15.489,0.005,3.87,3.875,3.872,3.872,0,0,0,0.6,2,-150.7,209.3,0,0,0,0,0,,,,,
8,1.1,0m 1.1s,-23.74614761,-46.57695886,Starting Motors,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,3.5,1.1,-23.74613843,-46.57695647,13,4,53,15.489,0.005,3.87,3.875,3.872,3.872,0,0,0,0.6,2,-150.7,209.3,0,0,0,0,0,,,,,
9,1.2,0m 1.2s,-23.74614778,-46.57695887,Starting Motors,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,3.5,1.1,-23.74613843,-46.57695647,13,4,53,15.489,0.005,3.87,3.875,3.872,3.872,0,0,0,0.6,2,-150.7,209.3,0,0,0,0,0,,,,,
10,1.3,0m 1.3s,-23.74614795,-46.57695887,Starting Motors,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,3.6,1.1,-23.74613843,-46.57695647,13,4,53,15.489,0.005,3.87,3.875,3.872,3.872,0,0,0,0.6,2,-150.7,209.3,0,0,0,0,0,,,,,
11,1.4,0m 1.4s,-23.74614813,-46.57695887,Starting Motors,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,3.6,1.1,-23.74613843,-46.57695647,13,4,53,15.489,0.005,3.87,3.875,3.872,3.872,0,0,0,0.6,2,-150.7,209.3,0,0,0,0,0,,,,,
12,1.5,0m 1.5s,-23.74614831,-46.57695884,Auto Takeoff,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,3.7,1.1,-23.74613843,-46.57695647,13,4,53,15.489,0.005,3.87,3.875,3.872,3.872,0,0,0,0.6,2,-150.7,209.3,0,0,0,0,0,,,,,
13,1.6,0m 1.6s,-23.74614849,-46.5769588,Auto Takeoff,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,3.8,1.1,-23.74613843,-46.57695647,13,4,53,15.489,0.005,3.87,3.875,3.872,3.872,0,0,0,0.6,2,-150.8,209.2,0,0,0,0,0,,,,,
