Id,Time(seconds),Time(text),Latitude,Longitude,FlightMode,Altitude(feet),Altitude(meters),VpsAltitude(feet),VpsAltitude(meters),HSpeed(mph),HSpeed(m/s),GpsSpeed(mph),GpsSpeed(m/s),HomeDistance(feet),HomeDistance(meters),HomeLatitude,HomeLongitude,GpsCount,GpsLevel,BatteryPower(%),BatteryVoltage,BatteryVoltageDeviation,BatteryCell1Voltage,BatteryCell2Voltage,BatteryCell3Voltage,BatteryCell4Voltage,VelocityX,VelocityY,VelocityZ,Pitch,Roll,Yaw,Yaw(360),RcAileron,RcElevator,RcGyro,RcRudder,RcThrottle,NonGpsError,GoHomeStatus,AppTip,AppWarning,AppMessage
14,1.7,0m 1.7s,-23.74614868,-46.57695874,Auto Takeoff,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,3.8,1.2,-23.74613843,-46.57695647,13,4,53,15.489,0.005,3.87,3.875,3.872,3.872,0,0,0,0.6,2,-150.8,209.2,0,0,0,0,0,,,,,
15,1.9,0m 1.9s,-23.74614909,-46.57695862,Auto Takeoff,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,4.0,1.2,-23.74613843,-46.57695647,13,4,53,15.489,0.005,3.87,3.875,3.872,3.872,0,0,0,0.6,2,-150.9,209.1,0,0,0,0,0,,,,,
16,2,0m 2s,-23.74614931,-46.57695859,Auto Takeoff,0.0,0.0,0.3,0.1,0.0,0.0,0.7,0.3,4.0,1.2,-23.74613843,-46.57695647,13,4,53,15.489,0.005,3.87,3.875,3.872,3.872,0,0,0,0.6,2,-150.9,209.1,0,0,0,0,0,,,,,
17,2.1,0m 2.1s,-23.74614954,-46.57695853,Auto Takeoff,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,4.1,1.3,-23.74613843,-46.57695647,13,4,53,15.489,0.005,3.87,3.875,3.872,3.872,0,0,0,0.6,1.9,-150.9,209.1,0,0,0,0,0,,,,,
18,2.2,0m 2.2s,-23.74614976,-46.57695848,Auto Takeoff,0.0,0.0,0.3,0.1,0.0,0.0,1.1,0.5,4.2,1.3,-23.74613843,-46.57695647,13,4,53,15.489,0.005,3.87,3.875,3.872,3.872,0,0,0,0.7,1.9,-150.9,209.1,0,0,0,0,0,,,,,
19,2.3,0m 2.3s,-23.74614998,-46.57695842,Auto Takeoff,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,4.3,1.3,-23.74613843,-46.57695647,13,4,53,15.489,0.005,3.87,3.875,3.872,3.872,0,0,0,0.7,1.8,-150.9,209.1,0,0,0,0,0,,,,,
20,2.4,0m 2.4s,-23.74615019,-46.57695836,Auto Takeoff,0.0,0.0,0.3,0.1,0.0,0.0,1.1,0.5,4.3,1.3,-23.74613843,-46.57695647,13,4,53,15.482,0.005,3.868,3.873,3.871,3.87,0,0,0,0.6,0.9,-150.8,209.2,0,0,0,0,0,,,,,
21,2.5,0m 2.5s,-23.74615036,-46.57695831,Auto Takeoff,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,4.4,1.3,-23.74613843,-46.57695647,13,4,53,15.482,0.005,3.868,3.873,3.871,3.87,0,0,-0.1,0.6,-1.4,-151.1,208.9,0,0,0,0,0,,,,,
22,2.6,0m 2.6s,-23.74615052,-46.57695825,Auto Takeoff,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,4.4,1.4,-23.74613843,-46.57695647,13,4,53,15.482,0.005,3.868,3.873,3.871,3.87,0,0,-0.2,0.5,-3,-151.2,208.8,0,0,0,0,0,,,,,
23,2.7,0m 2.7s,-23.74615068,-46.57695811,Auto Takeoff,0.0,0.0,0.7,0.2,0.0,0.0,0.0,0.0,4.5,1.4,-23.74613843,-46.57695647,13,4,53,15.482,0.005,3.868,3.873,3.871,3.87,0,0.1,-0.4,0,-1.9,-151.3,208.7,0,0,0,0,0,,,,,
24,2.8,0m 2.8s,-23.74615087,-46.5769579,Auto Takeoff,0.3,0.1,0.7,0.2,0.2,0.1,0.0,0.0,4.6,1.4,-23.74613843,-46.57695647,13,4,53,15.482,0.005,3.868,3.873,3.871,3.87,0,0.1,-0.5,-0.1,-0.1,-151.3,208.7,0,0,0,0,0,,,,,
25,2.9,0m 2.9s,-23.74615106,-46.57695765,Auto Takeoff,0.3,0.1,1.0,0.3,0.2,0.1,0.0,0.0,4.6,1.4,-23.74613843,-46.57695647,13,4,53,15.482,0.005,3.868,3.873,3.871,3.87,0,0.1,-0.5,-0.3,1.1,-151.3,208.7,0,0,0,0,0,,,,,
26,3,0m 3s,-23.74615124,-46.57695738,Auto Takeoff,0.7,0.2,1.0,0.3,0.2,0.1,0.0,0.0,4.7,1.4,-23.74613843,-46.57695647,13,4,53,15.482,0.005,3.868,3.873,3.871,3.87,0,0.1,-0.5,-0.2,3.1,-151.2,208.8,0,0,0,0,0,,,,,
27,3.1,0m 3.1s,-23.74615134,-46.57695713,Auto Takeoff,0.7,0.2,1.3,0.4,0.2,0.1,1.1,0.5,4.7,1.4,-23.74613843,-46.57695647,13,4,53,15.482,0.005,3.868,3.873,3.871,3.87,0,0.1,-0.5,0.2,4,-151.1,208.9,0,0,0,0,0,,,,,
28,3.2,0m 3.2s,-23.74615137,-46.57695692,Auto Takeoff,1.0,0.3,1.3,0.4,0.0,0.0,0.0,0.0,4.7,1.4,-23.74613843,-46.57695647,13,4,53,15.482,0.005,3.868,3.873,3.871,3.87,0,0,-0.5,0.5,2.8,-151.3,208.7,0,0,0,0,0,,,,,
29,3.3,0m 3.3s,-23.74615125,-46.57695681,Auto Takeoff,1.0,0.3,1.6,0.5,0.0,0.0,0.0,0.0,4.7,1.4,-23.74613843,-46.57695647,13,4,53,15.482,0.005,3.868,3.873,3.871,3.87,0,0,-0.4,0.3,1.2,-151.2,208.8,0,0,0,0,0,,,,,
30,3.4,0m 3.4s,-23.74615112,-46.57695673,Auto Takeoff,1.3,0.4,1.6,0.5,0.2,0.1,0.0,0.0,0.6,0.2,-23.74615042,-46.5769583,13,4,53,15.361,0.013,3.841,3.846,3.841,3.833,0,0.1,-0.4,-0.9,1.6,-151.1,208.9,0,0,0,0,0,,,Home Point recorded. Return-to-Home Altitude:80M,,Home Point Updated
31,3.5,0m 3.5s,-23.74615085,-46.57695672,Auto Takeoff,1.3,0.4,2.0,0.6,0.2,0.1,0.0,0.0,0.5,0.2,-23.74615042,-46.5769583,13,4,53,15.361,0.013,3.841,3.846,3.841,3.833,0.1,0.1,-0.4,-2,1.6,-151.1,208.9,0,0,0,0,0,,,,,
32,3.6,0m 3.6s,-23.74615061,-46.57695669,Auto Takeoff,1.3,0.4,2.0,0.6,0.3,0.1,0.0,0.0,0.6,0.2,-23.74615042,-46.5769583,13,4,53,15.361,0.013,3.841,3.846,3.841,3.833,0.1,0.1,-0.3,-3.4,1.5,-151.2,208.8,0,0,0,0,0,,,,,
33,3.7,0m 3.7s,-23.74615033,-46.57695674,Auto Takeoff,1.6,0.5,2.0,0.6,0.2,0.1,0.0,0.0,0.4,0.1,-23.74615042,-46.5769583,13,4,53,15.361,0.013,3.841,3.846,3.841,3.833,0,0.1,-0.3,-2.9,1.5,-151.2,208.8,0,0,0,0,0,,,,,
34,3.8,0m 3.8s,-23.74615013,-46.57695679,Auto Takeoff,1.6,0.5,2.3,0.7,0.3,0.1,1.1,0.5,0.6,0.2,-23.74615042,-46.5769583,13,4,53,15.361,0.013,3.841,3.846,3.841,3.833,0.1,0.1,-0.4,-3,1.4,-151,209,0,0,0,0,0,,,,,
35,3.9,0m 3.9s,-23.74614987,-46.57695687,Auto Takeoff,2.0,0.6,2.3,0.7,0.2,0.1,0.0,0.0,0.6,0.2,-23.74615042,-46.5769583,13,4,53,15.361,0.013,3.841,3.846,3.841,3.833,0,0.1,-0.4,-4.2,2.5,-150.9,209.1,0,0,0,0,0,,,,,
36,4,0m 4s,-23.74614968,-46.5769569,Auto Takeoff,2.0,0.6,2.6,0.8,0.2,0.1,0.0,0.0,0.5,0.2,-23.74615042,-46.5769583,13,4,53,15.361,0.013,3.841,3.846,3.841,3.833,0,0.1,-0.4,-4,3.3,-151,209,0,0,0,0,0,,,,,
37,4.1,0m 4.1s,-23.74614952,-46.57695701,Auto Takeoff,2.3,0.7,2.6,0.8,0.0,0.0,0.0,0.0,0.5,0.2,-23.74615042,-46.5769583,13,4,53,15.361,0.013,3.841,3.846,3.841,3.833,0,0,-0.4,-3.5,2.9,-151,209,0,0,0,0,0,,,,,
38,4.2,0m 4.2s,-23.74614947,-46.57695713,Auto Takeoff,2.3,0.7,3.0,0.9,0.0,0.0,0.0,0.0,0.5,0.2,-23.74615042,-46.5769583,13,4,53,15.361,0.013,3.841,3.846,3.841,3.833,0,0,-0.4,-3.6,1.9,-151,209,1024,1024,1024,1024,1116,,,,,
39,4.3,0m 4.3s,-23.74614945,-46.57695729,Auto Takeoff,2.6,0.8,3.0,0.9,0.2,0.1,0.0,0.0,0.4,0.1,-23.74615042,-46.5769583,13,4,53,15.361,0.013,3.841,3.846,3.841,3.833,0,0.1,-0.5,-3.4,2.3,-151.1,208.9,1024,1024,1024,1024,1296,,,,,
40,4.4,0m 4.4s,-23.74614944,-46.57695743,Auto Takeoff,2.6,0.8,3.3,1.0,0.0,0.0,0.0,0.0,0.4,0.1,-23.74615042,-46.5769583,13,4,53,15.209,0.014,3.796,3.81,3.806,3.797,0,0,-0.5,-2.8,3,-151,209,1024,1024,1024,1024,1398,,,,,
41,4.5,0m 4.5s,-23.74614946,-46.57695763,Auto Takeoff,3.0,0.9,3.3,1.0,0.0,0.0,0.0,0.0,0.4,0.1,-23.74615042,-46.5769583,13,4,53,15.209,0.014,3.796,3.81,3.806,3.797,0,0,-0.5,-2.7,3.3,-150.9,209.1,1024,1024,1024,1024,1473,,,,,
42,4.6,0m 4.6s,-23.74614947,-46.57695784,Auto Takeoff,3.0,0.9,3.6,1.1,0.2,0.1,0.0,0.0,0.3,0.1,-23.74615042,-46.5769583,13,4,53,15.209,0.014,3.796,3.81,3.806,3.797,0.1,0,-0.5,-3.3,2.4,-151,209,1024,1024,1024,1024,1532,,,,,
43,4.7,0m 4.7s,-23.7461495,-46.5769581,P-GPS,3.3,1.0,3.6,1.1,0.0,0.0,0.0,0.0,0.3,0.1,-23.74615042,-46.5769583,13,4,53,15.209,0.014,3.796,3.81,3.806,3.797,0,0,-0.7,-3.9,0.7,-151,209,1024,1024,1024,1024,1556,,,,"Braking now. Return sticks to midpoints, then continue flying.",
44,4.8,0m 4.8s,-23.74614955,-46.57695832,P-GPS,3.6,1.1,3.9,1.2,0.0,0.0,0.0,0.0,0.0,0.0,-23.74615042,-46.5769583,13,4,53,15.209,0.014,3.796,3.81,3.806,3.797,0,0,-0.8,-3.3,0.6,-150.9,209.1,1024,1024,1024,1024,1556,,,,,
45,4.9,0m 4.9s,-23.74614968,-46.57695851,P-GPS,3.9,1.2,4.3,1.3,0.0,0.0,0.0,0.0,0.0,0.0,-23.74615042,-46.5769583,13,4,53,15.209,0.014,3.796,3.81,3.806,3.797,0,0,-1.2,-2.8,-0.1,-150.6,209.4,1024,1024,1024,1024,1561,,,,,
46,5,0m 5s,-23.74614981,-46.57695862,P-GPS,4.3,1.3,4.6,1.4,0.0,0.0,0.0,0.0,0.0,0.0,-23.74615042,-46.5769583,13,4,53,15.209,0.014,3.796,3.81,3.806,3.797,0,0,-1.5,-3.8,-0.2,-150.6,209.4,1024,1024,1024,1024,1589,,,,,
47,5.1,0m 5.1s,-23.74615007,-46.57695867,P-GPS,4.9,1.5,5.2,1.6,0.0,0.0,0.0,0.0,0.0,0.0,-23.74615042,-46.5769583,13,4,53,15.209,0.014,3.796,3.81,3.806,3.797,0,0,-1.9,-3.3,1.1,-151,209,1024,1024,1024,1024,1603,,,,,
48,5.2,0m 5.2s,-23.74615041,-46.5769587,P-GPS,5.6,1.7,5.9,1.8,0.2,0.1,1.1,0.5,0.3,0.1,-23.74615042,-46.5769583,13,4,53,15.209,0.014,3.796,3.81,3.806,3.797,-0.1,0,-2.3,-2.1,4.4,-151.3,208.7,1024,1024,1024,1024,1628,,,,,
49,5.3,0m 5.3s,-23.74615076,-46.57695879,P-GPS,6.6,2.0,6.6,2.0,0.0,0.0,1.1,0.5,0.0,0.0,-23.74615042,-46.5769583,13,4,53,15.209,0.014,3.796,3.81,3.806,3.797,0,0,-2.6,-2,3.9,-151.5,208.5,1024,1024,1024,1024,1662,,,,,
50,5.4,0m 5.4s,-23.74615101,-46.57695896,P-GPS,7.2,2.2,7.5,2.3,0.0,0.0,1.1,0.5,0.4,0.1,-23.74615042,-46.5769583,13,4,53,15.209,0.014,3.796,3.81,3.806,3.797,0,0,-3,-2.1,3.7,-151.6,208.4,1024,1024,1024,1024,1684,,,,,
51,5.5,0m 5.5s,-23.74615127,-46.57695917,P-GPS,8.5,2.6,8.5,2.6,0.0,0.0,1.1,0.5,0.4,0.1,-23.74615042,-46.5769583,13,4,53,15.209,0.014,3.796,3.81,3.806,3.797,0,0,-3.5,-3.4,1.1,-151.7,208.3,1024,1024,1024,1024,1684,,,,,
52,5.6,0m 5.6s,-23.74615158,-46.57695938,P-GPS,9.8,3.0,9.5,2.9,0.4,0.2,1.1,0.5,0.6,0.2,-23.74615042,-46.5769583,13,4,53,15.209,0.014,3.796,3.81,3.806,3.797,-0.2,0,-4,-3.6,0.4,-151.6,208.4,1024,1024,1024,1024,1684,,,,,
53,5.7,0m 5.7s,-23.74615207,-46.57695958,P-GPS,11.2,3.4,11.2,3.4,0.7,0.3,1.1,0.5,0.7,0.2,-23.74615042,-46.5769583,13,4,53,15.209,0.014,3.796,3.81,3.806,3.797,-0.3,0,-4.4,1.3,2.2,-151.2,208.8,1024,1024,1024,1024,1684,,,,,
54,5.8,0m 5.8s,-23.74615256,-46.57695976,P-GPS,12.8,3.9,12.5,3.8,0.4,0.2,1.5,0.7,1.0,0.3,-23.74615042,-46.5769583,13,4,53,15.209,0.014,3.796,3.81,3.806,3.797,-0.2,0,-4.8,4.6,4.8,-150.9,209.1,1024,1024,1024,1024,1684,,,,,
55,5.9,0m 5.9s,-23.74615293,-46.57695995,P-GPS,14.4,4.4,14.1,4.3,0.0,0.0,1.1,0.5,1.1,0.3,-23.74615042,-46.5769583,13,4,53,15.209,0.014,3.796,3.81,3.806,3.797,0,0,-5,3.6,5.1,-150.9,209.1,1024,1024,1024,1024,1684,,,,,
56,6,0m 6s,-23.74615315,-46.57696016,P-GPS,16.1,4.9,15.7,4.8,0.0,0.0,0.0,0.0,1.2,0.4,-23.74615042,-46.5769583,13,4,53,15.209,0.014,3.796,3.81,3.806,3.797,0,0,-5.1,1.9,5,-151,209,1024,1024,1024,1024,1684,,,,,
57,6.1,0m 6.1s,-23.74615321,-46.57696041,P-GPS,17.7,5.4,17.4,5.3,0.2,0.1,0.0,0.0,1.2,0.4,-23.74615042,-46.5769583,13,4,53,15.209,0.014,3.796,3.81,3.806,3.797,0.1,0,-5.1,-1.2,4.4,-151.4,208.6,1024,1024,1024,1024,1684,,,,,
58,6.2,0m 6.2s,-23.74615318,-46.57696069,P-GPS,19.4,5.9,18.7,5.7,0.2,0.1,0.0,0.0,1.3,0.4,-23.74615042,-46.5769583,13,4,53,15.209,0.014,3.796,3.81,3.806,3.797,0,-0.1,-5,-4.1,2.8,-151.5,208.5,1024,1024,1024,1024,1684,,,,,
59,6.3,0m 6.3s,-23.74615315,-46.57696103,P-GPS,21.0,6.4,20.3,6.2,0.2,0.1,1.1,0.5,1.3,0.4,-23.74615042,-46.5769583,13,4,53,15.209,0.014,3.796,3.81,3.806,3.797,0,-0.1,-5,-4.1,1.6,-151.2,208.8,1024,1024,1024,1024,1684,,,,,
60,6.4,0m 6.4s,-23.74615321,-46.57696139,P-GPS,22.6,6.9,22.0,6.7,0.2,0.1,0.0,0.0,1.5,0.4,-23.74615042,-46.5769583,13,4,53,15.044,0.018,3.749,3.767,3.766,3.762,0,-0.1,-4.9,-2.2,-0.3,-151.3,208.7,1024,1024,1024,1024,1684,,,,,
61,6.5,0m 6.5s,-23.74615334,-46.57696174,P-GPS,24.3,7.4,23.6,7.2,0.2,0.1,1.1,0.5,1.5,0.5,-23.74615042,-46.5769583,13,4,53,15.044,0.018,3.749,3.767,3.766,3.762,0,-0.1,-4.9,-0.3,-0.8,-151.4,208.6,1024,1024,1024,1024,1684,,,,,
62,6.6,0m 6.6s,-23.74615356,-46.57696203,P-GPS,25.9,7.9,25.3,7.7,0.0,0.0,1.1,0.5,1.7,0.5,-23.74615042,-46.5769583,13,4,53,15.044,0.018,3.749,3.767,3.766,3.762,0,0,-5,0.9,0.4,-151.5,208.5,1024,1024,1024,1024,1684,,,,,
63,6.7,0m 6.7s,-23.74615379,-46.57696225,P-GPS,27.6,8.4,26.9,8.2,0.0,0.0,0.0,0.0,1.8,0.6,-23.74615042,-46.5769583,13,4,53,15.044,0.018,3.749,3.767,3.766,3.762,0,0,-4.9,0.1,1.9,-151.5,208.5,1024,1024,1024,1024,1684,,,,,
64,6.8,0m 6.8s,-23.74615401,-46.57696243,P-GPS,29.2,8.9,28.5,8.7,0.0,0.0,1.1,0.5,1.9,0.6,-23.74615042,-46.5769583,13,4,53,15.044,0.018,3.749,3.767,3.766,3.762,0,0,-4.9,-0.1,2.2,-151.5,208.5,1024,1024,1024,1024,1684,,,,,
65,6.9,0m 6.9s,-23.74615422,-46.57696262,P-GPS,30.8,9.4,30.2,9.2,0.0,0.0,1.1,0.5,2.0,0.6,-23.74615042,-46.5769583,13,4,53,15.044,0.018,3.749,3.767,3.766,3.762,0,0,-4.9,0,2.1,-151.3,208.7,1024,1024,1024,1024,1684,,,,,
66,7,0m 7s,-23.74615441,-46.5769628,P-GPS,32.5,9.9,31.8,9.7,0.0,0.0,0.0,0.0,2.1,0.6,-23.74615042,-46.5769583,13,4,53,15.044,0.018,3.749,3.767,3.766,3.762,0,0,-4.9,0.6,2.5,-151,209,1024,1024,1024,1024,1684,,,,,
67,7.1,0m 7.1s,-23.74615454,-46.57696299,P-GPS,34.1,10.4,33.5,10.2,0.0,0.0,1.1,0.5,2.2,0.7,-23.74615042,-46.5769583,13,4,53,15.044,0.018,3.749,3.767,3.766,3.762,0,0,-4.9,0,1.9,-151.1,208.9,1024,1024,1024,1024,1684,,,,,
68,7.2,0m 7.2s,-23.74615462,-46.5769632,P-GPS,35.8,10.9,34.8,10.6,0.0,0.0,0.0,0.0,2.2,0.7,-23.74615042,-46.5769583,13,4,53,15.044,0.018,3.749,3.767,3.766,3.762,0,0,-4.9,-1.3,2.2,-151.2,208.8,1024,1024,1024,1024,1684,,,,,
69,7.3,0m 7.3s,-23.74615471,-46.57696346,P-GPS,37.4,11.4,36.4,11.1,0.2,0.1,0.0,0.0,2.3,0.7,-23.74615042,-46.5769583,13,4,53,15.044,0.018,3.749,3.767,3.766,3.762,0,-0.1,-5,-2.5,2.2,-151.3,208.7,1024,1024,1024,1024,1684,,,,,
70,7.4,0m 7.4s,-23.74615482,-46.57696382,P-GPS,39.0,11.9,38.1,11.6,0.4,0.2,1.1,0.5,2.5,0.7,-23.74615042,-46.5769583,13,4,53,14.983,0.021,3.736,3.757,3.752,3.738,0,-0.2,-5,-1.5,0.7,-151.3,208.7,1024,1024,1024,1024,1684,,,,,
71,7.5,0m 7.5s,-23.74615495,-46.57696426,P-GPS,40.7,12.4,39.7,12.1,0.4,0.2,1.1,0.5,2.6,0.8,-23.74615042,-46.5769583,13,4,53,14.983,0.021,3.736,3.757,3.752,3.738,0,-0.2,-5,0.4,0,-151.3,208.7,1024,1024,1024,1024,1684,,,,,
72,7.6,0m 7.6s,-23.74615509,-46.57696473,P-GPS,42.3,12.9,41.3,12.6,0.4,0.2,1.1,0.5,2.8,0.8,-23.74615042,-46.5769583,13,4,53,14.983,0.021,3.736,3.757,3.752,3.738,0,-0.2,-5,1.2,-1.1,-151.6,208.4,1024,1024,1024,1024,1684,,,,,
73,7.7,0m 7.7s,-23.74615523,-46.57696519,P-GPS,44.0,13.4,43.0,13.1,0.2,0.1,0.0,0.0,2.9,0.9,-23.74615042,-46.5769583,13,4,53,14.983,0.021,3.736,3.757,3.752,3.738,0,-0.1,-5,1.8,-3.5,-151.8,208.2,1024,1024,1024,1024,1684,,,,,
74,7.8,0m 7.8s,-23.74615536,-46.57696554,P-GPS,45.6,13.9,44.6,13.6,0.0,0.0,0.0,0.0,3.0,0.9,-23.74615042,-46.5769583,13,4,53,14.983,0.021,3.736,3.757,3.752,3.738,0,0,-5,1.4,-3.8,-151.5,208.5,1024,1024,1024,1024,1684,,,,,
75,7.9,0m 7.9s,-23.74615545,-46.57696575,P-GPS,47.2,14.4,46.3,14.1,0.0,0.0,0.0,0.0,3.1,0.9,-23.74615042,-46.5769583,13,4,53,14.983,0.021,3.736,3.757,3.752,3.738,0,0,-5,0.8,0,-151.3,208.7,1024,1024,1024,1024,1684,,,,,
76,8,0m 8s,-23.74615546,-46.57696587,P-GPS,48.9,14.9,47.9,14.6,0.2,0.1,0.0,0.0,3.1,1.0,-23.74615042,-46.5769583,13,4,53,14.983,0.021,3.736,3.757,3.752,3.738,0.1,0,-5,0.3,3.1,-151.2,208.8,1024,1024,1024,1024,1684,,,,,
77,8.1,0m 8.1s,-23.74615534,-46.57696603,P-GPS,50.5,15.4,49.5,15.1,0.4,0.2,0.0,0.0,3.1,1.0,-23.74615042,-46.5769583,13,4,53,14.983,0.021,3.736,3.757,3.752,3.738,0.2,0,-4.9,-1.3,1.1,-151,209,1024,1024,1024,1024,1684,,,,,
78,8.2,0m 8.2s,-23.74615513,-46.57696621,P-GPS,52.2,15.9,51.2,15.6,0.4,0.2,0.0,0.0,3.2,1.0,-23.74615042,-46.5769583,13,4,53,14.983,0.021,3.736,3.757,3.752,3.738,0.2,0,-4.9,-4,-1.4,-151,209,1024,1024,1024,1024,1684,,,,,
79,8.3,0m 8.3s,-23.74615488,-46.57696641,P-GPS,53.8,16.4,52.8,16.1,0.4,0.2,1.1,0.5,3.1,1.0,-23.74615042,-46.5769583,13,4,53,14.983,0.021,3.736,3.757,3.752,3.738,0.2,0,-4.8,-5.7,-1.8,-151,209,1024,1024,1024,1024,1684,,,,,
80,8.4,0m 8.4s,-23.74615471,-46.57696667,P-GPS,55.4,16.9,54.5,16.6,0.2,0.1,0.0,0.0,3.2,1.0,-23.74615042,-46.5769583,13,4,53,15.021,0.018,3.746,3.764,3.761,3.75,0.1,0,-4.9,-3.7,-2.5,-151,209,1024,1024,1024,1024,1684,,,,,
81,8.5,0m 8.5s,-23.74615452,-46.57696693,P-GPS,57.1,17.4,,,0.2,0.1,1.1,0.5,3.2,1.0,-23.74615042,-46.5769583,13,4,53,15.021,0.018,3.746,3.764,3.761,3.75,0.1,0,-4.9,-2.6,-2.2,-151.1,208.9,1024,1024,1024,1024,1684,,,,,
