Id,Time(seconds),Time(text),Latitude,Longitude,FlightMode,Altitude(feet),Altitude(meters),VpsAltitude(feet),VpsAltitude(meters),HSpeed(mph),HSpeed(m/s),GpsSpeed(mph),GpsSpeed(m/s),HomeDistance(feet),HomeDistance(meters),HomeLatitude,HomeLongitude,GpsCount,GpsLevel,BatteryPower(%),BatteryVoltage,BatteryVoltageDeviation,BatteryCell1Voltage,BatteryCell2Voltage,BatteryCell3Voltage,BatteryCell4Voltage,VelocityX,VelocityY,VelocityZ,Pitch,Roll,Yaw,Yaw(360),RcAileron,RcElevator,RcGyro,RcRudder,RcThrottle,NonGpsError,GoHomeStatus,AppTip,AppWarning,AppMessage
1,0.1,0m 0.1s,0,0,Starting Motors,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,98,17.049,0.009,4.263,4.256,4.265,4.265,0,0,0,2.7,2.6,-28.7,331.3,0,0,0,0,0,,,,,
2,0.2,0m 0.2s,0,0,Starting Motors,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8,0,98,17.049,0.009,4.263,4.256,4.265,4.265,0,0,0,2.7,2.5,-29.2,330.8,0,0,0,0,0,,,,,
3,0.3,0m 0.3s,0,0,Starting Motors,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8,0,98,17.049,0.009,4.263,4.256,4.265,4.265,0,0,0,2.7,2.6,-29.5,330.5,0,0,0,0,0,,,,,
4,0.4,0m 0.4s,0,0,Starting Motors,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8,0,98,17.049,0.009,4.263,4.256,4.265,4.265,0,0,0,2.6,2.5,-29.9,330.1,0,0,0,0,0,,,,,
5,0.5,0m 0.5s,0,0,Starting Motors,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8,0,98,17.049,0.009,4.263,4.256,4.265,4.265,0,0,0,2.7,2.5,-30.4,329.6,0,0,0,0,0,,,,,
6,0.6,0m 0.6s,0,0,Starting Motors,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8,0,98,17.049,0.009,4.263,4.256,4.265,4.265,0,0,0,2.7,2.5,-30.7,329.3,0,0,0,0,0,,,,,
7,0.7,0m 0.7s,0,0,Starting Motors,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8,0,98,17.049,0.009,4.263,4.256,4.265,4.265,0,0,0,2.6,2.5,-30.9,329.1,0,0,0,0,0,,,,,
8,0.8,0m 0.8s,0,0,Starting Motors,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8,0,98,17.049,0.009,4.263,4.256,4.265,4.265,0,0,0,2.6,2.5,-31.2,328.8,0,0,0,0,0,,,,,
9,0.9,0m 0.9s,0,0,Starting Motors,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8,0,98,17.049,0.009,4.263,4.256,4.265,4.265,0,0,0,2.6,2.6,-31.6,328.4,0,0,0,0,0,,,,,
10,1,0m 1s,0,0,Starting Motors,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8,0,98,17.049,0.009,4.263,4.256,4.265,4.265,0,0,0,2.6,2.5,-32.1,327.9,0,0,0,0,0,,,,,
