Id,Time(seconds),Time(text),Latitude,Longitude,FlightMode,Altitude(feet),Altitude(meters),VpsAltitude(feet),VpsAltitude(meters),HSpeed(mph),HSpeed(m/s),GpsSpeed(mph),GpsSpeed(m/s),HomeDistance(feet),HomeDistance(meters),HomeLatitude,HomeLongitude,GpsCount,GpsLevel,BatteryPower(%),BatteryVoltage,BatteryVoltageDeviation,BatteryCell1Voltage,BatteryCell2Voltage,BatteryCell3Voltage,BatteryCell4Voltage,VelocityX,VelocityY,VelocityZ,Pitch,Roll,Yaw,Yaw(360),RcAileron,RcElevator,RcGyro,RcRudder,RcThrottle,NonGpsError,GoHomeStatus,AppTip,AppWarning,AppMessage
1,0.2,0m 0.2s,0,0,Starting Motors,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5,0,97,16.984,0.004,4.244,4.248,4.247,4.245,0,0,0,-4.5,1,-172.8,187.2,0,0,0,0,0,,,,Your aircraft is flying in an Altitude Zone (150 m). Please fly with caution.,
2,0.3,0m 0.3s,0,0,Starting Motors,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5,0,97,16.984,0.004,4.244,4.248,4.247,4.245,0,0,0,-4.5,1,-172.8,187.2,0,0,0,0,0,,,,,
3,0.4,0m 0.4s,0,0,Starting Motors,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5,0,97,16.984,0.004,4.244,4.248,4.247,4.245,0,0,0,-4.5,1,-172.7,187.3,0,0,0,0,0,,,,,
4,0.5,0m 0.5s,0,0,Starting Motors,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5,0,97,16.984,0.004,4.244,4.248,4.247,4.245,0,0,0,-4.5,1,-172.8,187.2,0,0,0,0,0,,,,,
5,0.8,0m 0.8s,0,0,Starting Motors,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5,0,97,16.984,0.004,4.244,4.248,4.247,4.245,0,0,0,-4.5,1,-172.7,187.3,0,0,0,0,0,,,,,
6,0.9,0m 0.9s,0,0,Starting Motors,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5,0,97,16.984,0.004,4.244,4.248,4.247,4.245,0,0,0,-4.5,0.9,-172.7,187.3,0,0,0,0,0,,,,,
7,1,0m 1s,0,0,Starting Motors,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5,0,97,16.984,0.004,4.244,4.248,4.247,4.245,0,0,0,-4.5,1,-172.7,187.3,0,0,0,0,0,,,,,
8,1.1,0m 1.1s,0,0,Starting Motors,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6,0,97,16.984,0.004,4.244,4.248,4.247,4.245,0,0,0,-4.5,1,-172.7,187.3,0,0,0,0,0,,,,,
9,1.2,0m 1.2s,0,0,Starting Motors,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6,0,97,16.899,0.008,4.226,4.228,4.225,4.22,0,0,0,-4.5,1,-172.7,187.3,0,0,0,0,0,,,,,
10,1.3,0m 1.3s,0,0,Starting Motors,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6,0,97,16.899,0.008,4.226,4.228,4.225,4.22,0,0,0,-4.5,1,-172.7,187.3,0,0,0,0,0,,,,,
11,1.4,0m 1.4s,0,0,Starting Motors,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6,0,97,16.899,0.008,4.226,4.228,4.225,4.22,0,0,0,-4.5,1,-172.7,187.3,0,0,0,0,0,,,,,
12,1.5,0m 1.5s,0,0,Auto Takeoff,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6,0,97,16.899,0.008,4.226,4.228,4.225,4.22,0,0,0,-4.5,1,-172.7,187.3,0,0,0,0,0,,,,,
13,1.6,0m 1.6s,0,0,Auto Takeoff,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6,0,97,16.899,0.008,4.226,4.228,4.225,4.22,0,0,0,-4.6,1,-172.7,187.3,0,0,0,0,0,,,,,
14,1.7,0m 1.7s,0,0,Auto Takeoff,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6,0,97,16.899,0.008,4.226,4.228,4.225,4.22,0,0,0,-4.5,0.9,-172.7,187.3,0,0,0,0,0,,,,,
15,1.8,0m 1.8s,0,0,Auto Takeoff,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6,0,97,16.899,0.008,4.226,4.228,4.225,4.22,0,0,0,-4.5,0.9,-172.7,187.3,0,0,0,0,0,,,,,
16,1.9,0m 1.9s,0,0,Auto Takeoff,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6,0,97,16.899,0.008,4.226,4.228,4.225,4.22,0,0,0,-4.5,0.9,-172.6,187.4,0,0,0,0,0,,,,,
17,2,0m 2s,0,0,Auto Takeoff,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6,0,97,16.899,0.008,4.226,4.228,4.225,4.22,0,0,0,-4.5,1,-172.7,187.3,0,0,0,0,0,,,,,
18,2.1,0m 2.1s,0,0,Auto Takeoff,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6,0,97,16.899,0.008,4.226,4.228,4.225,4.22,0,0,0,-4.4,1.1,-172.7,187.3,0,0,0,0,0,,,,,
