"logradouro";"tipo";"extensão";;"etapa1";;"etapa2"
"RUA OLINTO SILVESTRI";"local";89,00;;0,00;;89,00
"RUA OTTORINO MIAN";"local";56,00;;0,00;;56,00
"RUA OVAIR LUIZ";"local";55,00;;0,00;;55,00
"RUA PAQUISTÃO";"local";112,00;;0,00;;112,00
"RUA PARANÁ";"local";355,00;;0,00;;355,00
"RUA PATAGÔNIA";"local";225,00;;0,00;;225,00
"RUA PAULO FANANI";"local";120,00;;0,00;;120,00
"RUA PAULO FANANI";"local";100,00;;100,00;;0,00
"RUA PEDRO IVO";"local";260,00;;0,00;;0,00
"RUA PRESIDENTE PRUDENTE";"local";287,00;;287,00;;0,00
"RUA PRESIDENTE WENCESLAU";"local";171,00;;171,00;;0,00
"RUA RANIERI MAZZILLI";"local";453,00;;0,00;;0,00
"RUA REPÚBLICA";"local";213,00;;213,00;;0,00
"RUA RÚSSIA";"local";866,00;;0,00;;866,00
"RUA SANTA CATARINA";"local";282,00;;282,00;;0,00
"RUA SANTOS";"local";376,00;;0,00;;376,00
"RUA SÃO PAULO";"local";372,00;;372,00;;0,00
"RUA SENADOR MANOEL VITORINO PEREIRA";"local";56,00;;0,00;;56,00
"RUA SÍRIA";"local";133,00;;0,00;;0,00
"RUA SUIÇA";"local";313,00;;0,00;;313,00
"RUA TASUKE UEMATSU";"local";256,00;;256,00;;0,00
"RUA TRINDADE";"local";99,00;;0,00;;0,00
"RUA TURQUIA";"local";430,00;;0,00;;430,00
"RUA VENEZUELA";"local";535,00;;535,00;;0,00
"RUA VICENZO CAPASSI";"local";115,00;;0,00;;115,00
"RUA VISCONDE DE CABO FRIO";"local";198,00;;70,00;;128,00
"RUA ZURICH";"local";479,00;;0,00;;0,00
