"logradouro";"tipo";"extensão";;"etapa1";;"etapa2"
"RUA CECILIA MEIRELLES";"local";53,00;;0,00;;0,00
"RUA CENTRAL";"local";544,00;;0,00;;0,00
"RUA CHICO MENDES (VILA SÃO PEDRO)";"local";29,00;;0,00;;0,00
"RUA CHICO MENDES (VILA SÃO PEDRO)";"local";448,00;;0,00;;0,00
"RUA CHICO XAVIER";"local";79,00;;0,00;;0,00
"RUA CONSTITUINTE";"local";143,00;;0,00;;0,00
"RUA CORA CORALINA";"local";126,00;;0,00;;0,00
"RUA DA  BICA";"local";447,00;;0,00;;0,00
"RUA DA  BONDADE";"local";143,00;;0,00;;0,00
"RUA DA  COMUNIDADE";"local";561,00;;0,00;;0,00
"RUA DA  FIDELIDADE";"local";54,00;;0,00;;0,00
"RUA DA  LUA";"local";177,00;;0,00;;0,00
"RUA DA  PADARIA";"local";68,00;;0,00;;0,00
"RUA DA  PAZ (JARDIM DOS QUÍMICOS)";"local";90,00;;0,00;;0,00
"RUA DA  PROSPERIDADE";"local";136,00;;0,00;;0,00
"RUA DAS  CHÁCARAS (VILA SÃO PEDRO)";"local";198,00;;0,00;;0,00
"RUA DAS  ESTRELAS";"local";431,00;;0,00;;0,00
"RUA DAS  GRAÇAS";"local";137,00;;0,00;;0,00
"RUA DAS  ROSAS (VILA SÃO PEDRO)";"local";244,00;;0,00;;0,00
"RUA DIOGO ALVARES - O CARAMURU";"local";63,00;;0,00;;0,00
"RUA DIRETORA MARIA CLEUZA";"local";203,00;;0,00;;0,00
"RUA DO  OLEODUTO (VILA SÃO PEDRO)";"local";690,00;;0,00;;0,00
"RUA DOS  AMIGOS";"local";259,00;;0,00;;0,00
"RUA DOS  EVANGÉLICOS (VILA SÃO PEDRO)";"local";55,00;;0,00;;0,00
"RUA DOS  PÁSSAROS (JARDIM DOS QUÍMICOS)";"local";118,00;;0,00;;0,00
"RUA DOS  PÁSSAROS (VILA SÃO PEDRO)";"local";297,00;;0,00;;0,00
"RUA DOS  PÁSSAROS (VILA SÃO PEDRO)";"local";343,00;;0,00;;0,00
"RUA DOS  PIONEIROS";"local";226,00;;0,00;;0,00
"RUA DOS  UNIDOS";"local";159,00;;0,00;;0,00
"RUA DOUTOR ROQUE";"local";170,00;;0,00;;0,00
"RUA DURVALINA ALEIXO DOS SANTOS";"local";71,00;;0,00;;0,00
"RUA EDSON QUEIROZ";"local";373,00;;0,00;;0,00
"RUA ELIETE JUSTO DE OLIVEIRA";"local";175,00;;0,00;;0,00
"RUA ELIS REGINA (JARDIM DOS QUÍMICOS)";"local";27,00;;0,00;;0,00
"RUA ELÓI BORGES";"local";175,00;;0,00;;0,00
"RUA ERNESTO GASTALDO";"local";215,00;;0,00;;0,00
"RUA EUFRATES";"local";37,00;;0,00;;0,00
"RUA FELÍCIO CARNAVAL PICCOLI";"local";254,00;;0,00;;0,00
"RUA FERNÃO LOPES";"local";59,00;;0,00;;0,00
"RUA FLOR DE MAIO (VILA SÃO PEDRO)";"local";225,00;;0,00;;0,00
"RUA FORTUNATA BERNARDELLO MENEGUETTI";"local";401,00;;0,00;;0,00
"RUA FRANCISCO ANDRELINO DOS SANTOS";"local";124,00;;0,00;;0,00
"RUA FRANCISCO CHAGAS";"local";161,00;;0,00;;0,00
"RUA FRANCISCO TONICELLI";"local";117,00;;0,00;;0,00
"RUA FREI DAMIÃO (VILA SÃO PEDRO)";"local";109,00;;0,00;;0,00
"RUA GENIVAL FRANCISCO DA SILVA";"local";308,00;;0,00;;0,00
"RUA GERALDO BARION";"local";145,00;;0,00;;0,00
"RUA GILSON DOS SANTOS";"local";53,00;;0,00;;0,00
"RUA GOLDEN PARK";"local";460,00;;0,00;;0,00
"RUA GUIMARÃES ROSA (VILA SÃO PEDRO)";"local";156,00;;0,00;;0,00
"RUA HOLLYWOOD";"local";102,00;;0,00;;0,00
"RUA ITAMARATI";"local";298,00;;0,00;;0,00
"RUA ITAQUERA";"local";50,00;;0,00;;0,00
"RUA IZÍDIO";"local";49,00;;0,00;;0,00
"RUA JANETE CLAIR (JARDIM DOS QUÍMICOS)";"local";33,00;;0,00;;0,00
"RUA JAVANESES";"local";88,00;;0,00;;0,00
"RUA JEAN PIAGET";"local";39,00;;0,00;;0,00
"RUA JERÔNIMO DOS SANTOS";"local";204,00;;0,00;;0,00
"RUA JERÔNIMO DOS SANTOS";"local";238,00;;0,00;;0,00
"RUA JESSÉ";"local";60,00;;0,00;;0,00
"RUA JOANA D'ARC";"local";593,00;;0,00;;0,00
"RUA JOÃO APOLÔNIO GOMES";"local";230,00;;0,00;;0,00
"RUA JOÃO BAPTISTA MARSON";"local";259,00;;0,00;;0,00
"RUA JOÃO XXIII (VILA SÃO PEDRO)";"local";129,00;;0,00;;0,00
"RUA JOAQUIM GOMES MIRANDA";"local";206,00;;0,00;;0,00
"RUA JOAQUIM MANUEL DE MACEDO";"local";441,00;;0,00;;0,00
"RUA JORGE FERNANDES NETO";"local";88,00;;0,00;;0,00
"RUA JOSÉ ALVES DA SILVA";"local";95,00;;0,00;;0,00
"RUA JOSÉ CARRAPEIRO";"local";88,00;;0,00;;0,00
"RUA JOSÉ LINS DO REGO";"local";41,00;;0,00;;0,00
"RUA JOSEFA DA SILVA";"local";98,00;;0,00;;0,00
"RUA JOSEPHINA LEONORA LOTTO BUENO";"local";589,00;;0,00;;0,00
"RUA LARISSA LONGO";"local";151,00;;0,00;;0,00
"RUA LAURA PAZIM CAMPI";"local";108,00;;0,00;;0,00
"RUA LEILA DINIZ";"local";48,00;;0,00;;0,00
"RUA LUCIANA MARIA DA SILVA";"local";77,00;;0,00;;0,00
"RUA LUIZ CUSTÓDIO TIAGO";"local";160,00;;0,00;;0,00
"RUA LUIZ MARANESI FILHO";"local";127,00;;0,00;;0,00
"RUA MACHADO BARBOSA";"local";101,00;;0,00;;0,00
"RUA MANOEL DE FREITAS GAMA NETO";"local";223,00;;0,00;;0,00
"RUA MANOEL GUSMÃO FONTES";"local";156,00;;0,00;;0,00
"RUA MANOEL MESSIAS DE SOUZA SILVA";"local";109,00;;0,00;;0,00
"RUA MANUEL ANTÔNIO DE ALMEIDA";"local";59,00;;0,00;;0,00
"RUA MARIA ERMINIA DE JESUS";"local";219,00;;0,00;;0,00
"RUA MARIA GASTALDO CATELAN";"local";153,00;;0,00;;0,00
"RUA MARIA NICOLINA BELLUCCE PIATTO";"local";748,00;;0,00;;0,00
"RUA MARINGÁ (VILA SÃO PEDRO)";"local";215,00;;0,00;;0,00
"RUA MARIO DEPOLLI";"local";111,00;;0,00;;0,00
"RUA MARTE (JARDIM DOS QUÍMICOS)";"local";96,00;;0,00;;0,00
"RUA MATHEUS CAPASSI";"local";129,00;;0,00;;0,00
"RUA MONTE BELO";"local";42,00;;0,00;;0,00
