"logradouro";"tipo";"extensão";;"etapa1";;"etapa2"
"RUA LOS ANGELES";"local";106,00;;0,00;;106,00
"RUA LUÍZ VAZ DE CAMÕES";"local";281,00;;0,00;;281,00
"RUA LUIZA DE OLIVEIRA SANTANA";"local";162,00;;0,00;;0,00
"RUA MANAUS";"local";798,00;;0,00;;798,00
"RUA MANOEL ANTONIO DE OLIVEIRA";"local";71,00;;0,00;;71,00
"RUA MANOEL CARNEIRO";"local";199,00;;0,00;;0,00
"RUA MARIA ENCARNAÇÃO NUCCI";"local";302,00;;0,00;;302,00
"RUA MARICÁ";"local";115,00;;0,00;;115,00
"RUA MARTE (JARDIM MARCO POLO)";"local";212,00;;0,00;;212,00
"RUA MATO GROSSO";"local";482,00;;0,00;;482,00
"RUA MERCEDES COELHO DA SILVA";"local";473,00;;0,00;;473,00
"RUA MERCÚRIO (JARDIM MARCO POLO)";"local";165,00;;0,00;;165,00
"RUA MIAMI";"local";114,00;;0,00;;114,00
"RUA MIRACEMA";"local";341,00;;0,00;;341,00
"RUA MIRIM";"local";35,00;;0,00;;35,00
"RUA NATAL";"local";138,00;;0,00;;138,00
"RUA NETUNO (JARDIM MARCO POLO)";"local";81,00;;0,00;;81,00
"RUA NILTON FRANCO";"local";52,00;;0,00;;0,00
"RUA NITERÓI";"local";804,00;;0,00;;804,00
"RUA NOSSA SENHORA APARECIDA (ROYAL PARK)";"local";113,00;;0,00;;113,00
"RUA NOVA YORQUE";"local";211,00;;0,00;;211,00
"RUA OCTÁVIO EDGARD DE OLIVEIRA";"local";303,00;;0,00;;303,00
"RUA ORLANDO SILVA";"local";52,00;;0,00;;0,00
"RUA PABLO NERUDA";"local";225,00;;0,00;;225,00
"RUA PARAÍBA";"local";441,00;;0,00;;441,00
"RUA PARANAGUÁ";"local";714,00;;0,00;;714,00
"RUA PARTICULAR IPOLITO MINUCCI";"local";;;;;
"RUA PAULO MORANDO";"local";298,00;;0,00;;298,00
"RUA PEDRO ZAMPIERI";"local";110,00;;0,00;;110,00
"RUA PONTA GROSSA";"local";501,00;;0,00;;501,00
"RUA PROFESSOR CLAUDEMIR GOMES DO VALE";"local";583,00;;0,00;;583,00
"RUA ROMANOS";"local";477,00;;0,00;;477,00
"RUA RUBENS MARTINS";"local";75,00;;0,00;;75,00
"RUA SALMOS";"local";100,00;;0,00;;100,00
"RUA SANTE BATTISTINI";"local";261,00;;0,00;;0,00
"RUA SÃO BERNARDO (JARDIM DA REPRESA)";"local";143,00;;0,00;;143,00
"RUA SÃO RAFAEL";"local";36,00;;0,00;;0,00
"RUA SIMÓN BOLIVAR";"local";366,00;;0,00;;366,00
"RUA STANISLAW PONTE PRETA";"local";170,00;;0,00;;170,00
"RUA TAVARES (BATISTINI)";"local";137,00;;0,00;;137,00
"RUA TIBAGI";"local";281,00;;0,00;;281,00
"RUA UBÁ (JARDIM UIRIÇABA)";"local";54,00;;0,00;;54,00
"RUA UNA";"local";360,00;;0,00;;360,00
"RUA VALE DO SOL";"local";85,00;;0,00;;85,00
"RUA VASCONCELOS";"local";82,00;;0,00;;0,00
"RUA VÊNUS (JARDIM MARCOPOLO)";"local";218,00;;0,00;;218,00
"RUA ZURIQUE (JARDIM UIRIÇABA)";"local";216,00;;0,00;;216,00
"TRAVESSA ÂNGELO BETIOL";"local";69,00;;0,00;;69,00
"TRAVESSA BRAULINA MARIA DE JESUS";"local";77,50;;0,00;;77,50
"TRAVESSA CLODOALDO DE SOUZA";"local";28,00;;0,00;;28,00
"TRAVESSA DAS  GOIABEIRAS";"local";48,00;;0,00;;48,00
"TRAVESSA GERALDO BATISTA";"local";40,00;;0,00;;40,00
"TRAVESSA GIACOMO MARIN";"local";87,00;;0,00;;87,00
"TRAVESSA JAIME DANTAS";"local";30,00;;0,00;;30,00
"TRAVESSA JOÃO MATIAS DE OLIVEIRA";"local";80,00;;0,00;;80,00
