"logradouro";"tipo";"extensão";;"etapa1";;"etapa2"
"RUA LÁZARO ROSA";"local";176,00;;0,00;;176,00
"RUA LÍDIA AFONSO";"local";180,00;;0,00;;180,00
"RUA MARIA QUITÉRIA";"local";133,00;;0,00;;133,00
"RUA MARIA RAMOS";"local";183,00;;0,00;;0,00
"RUA MARTIN FRANCISCO DE ANDRADA E SILVA";"local";279,00;;0,00;;279,00
"RUA MELO VIANA";"local";115,00;;0,00;;0,00
"RUA MÉXICO";"local";574,00;;0,00;;574,00
"RUA NORUEGA";"local";242,00;;0,00;;242,00
"RUA ODETE";"local";129,00;;0,00;;0,00
"RUA PANAMÁ";"local";84,00;;0,00;;0,00
"RUA PERU";"local";253,00;;0,00;;232,19
"RUA PRUDENTE DE MORAIS";"local";197,43;;0,00;;0,00
"RUA RAFAEL TOBIAS DE AGUIAR";"local";204,00;;0,00;;204,00
"RUA RAUL QUARESMA";"local";679,00;;0,00;;679,00
"RUA ROSA E SILVA";"local";255,00;;0,00;;255,00
"RUA VICENTE LEPORACE";"local";127,00;;0,00;;127,00
"RUA XAVIER MARQUES";"local";73,00;;0,00;;73,00
"RUA GALILÉIA";"local";230,00;;0,00;;230,00
"RUA SANTA CLARA";"local";150,00;;0,00;;150,00
"TRAVESSA HAWAÍ";"local";32,00;;0,00;;32,00
"TRAVESSA KATIA";"local";32,00;;0,00;;32,00
"RUA ALENCASTRO";"local";37,00;;0,00;;37,00
"RUA TATIANA";"local";37,00;;0,00;;37,00
"TRAVESSA ALM.";"local";30,00;;0,00;;30,00
"PASSAGEM GALILÉIA";"local";431,00;;0,00;;431,00
"PASSAGEM SANTA CLARA";"local";32,00;;0,00;;32,00
"PASSAGEM HAWAY";"local";36,00;;0,00;;36,00
"PASSAGEM KÁTIA";"local";36,60;;0,00;;36,60
"PASSAGEM ALENCASTRO";"local";41,00;;0,00;;41,00
"PASSAGEM ALM.";"local";34,00;;0,00;;34,00
