"logradouro";"tipo";"extensão";;"etapa1";;"etapa2";
"RUA CORONEL BONIFÁCIO CARVALHO";"local";130,00;;0,00;;0,00;
"RUA CRISTALINA";"local";360,00;;0,00;;360,00;
"RUA CRISTIANO CARNEIRO TRAVI FILHO";"local";247,00;;0,00;;247,00;
"RUA DA  EVOLUÇÃO";"local";57,00;;0,00;;57,00;
"RUA DAS  QUARESMEIRAS";"local";257,00;;0,00;;257,00;
"RUA DAS PAINEIRAS (JARDIM PINHEIRO)";"local";103,00;;0,00;;103,00;
"RUA DAS PARAÍBAS";"local";190,00;;0,00;;190,00;
"RUA DAS VOLTAS";"local";70,00;;0,00;;70,00;
"RUA DEPUTADO CARLOS MARIGHELLA";"local";54,00;;0,00;;54,00;
"RUA DIADEMA";"local";485,00;;0,00;;485,00;
"RUA DOM OSCAR ROMERO";"local";124,00;;"0.00";;0,00;
"RUA DOS  AFRICANOS";"local";126,00;;0,00;;0,00;
"RUA DOS  ALEMÃES";"local";75,00;;0,00;;0,00;
"RUA DOS  AMERICANOS (PARQUE BANDEIRANTES)";"local";220,00;;0,00;;0,00;
"RUA DOS  BRASILEIROS";"local";218,00;;0,00;;0,00;
"RUA DOS  CAÇADORES";"local";148,00;;0,00;;0,00;
"RUA DOS  COCAIS";"local";232,00;;0,00;;232,00;
"RUA DOS  EDUCANDÁRIOS (JARDIM PINHEIRO)";"local";415,00;;0,00;;415,00;
"RUA DOS  ESPANHÓIS";"local";350,00;;0,00;;0,00;
"RUA DOS  EVANGÉLICOS (VILA UNIÃO)";"local";82,00;;0,00;;82,00;
"RUA DOS  FRANCESES";"local";134,00;;0,00;;0,00;
"RUA DOS  GRAMADOS";"local";65,00;;0,00;;65,00;
"RUA DOS  INDUSTRIÁRIOS";"local";247,00;;0,00;;247,00;
"RUA DOS  INGAZEIROS";"local";319,00;;0,00;;319,00;
"RUA DOS  IPÊS (PARQUE IDEAL II)";"local";284,00;;0,00;;284,00;
"RUA DOS  ITALIANOS";"local";120,00;;0,00;;0,00;
"RUA DOS  JACARANDÁS (JARDIM NOSSO LAR)";"local";308,00;;0,00;;308,00;
"RUA DOS  JAPONESES";"local";62,00;;0,00;;0,00;
"RUA DOS  JATOBÁS (JARDIM PINHEIROS)";"local";521,00;;0,00;;521,00;
"RUA DOS  JEQUITIBÁS";"local";185,00;;0,00;;185,00;
"RUA DOS  MINEIROS";"local";189,00;;0,00;;189,00;
"RUA DOS  NAVEGANTES";"local";106,00;;0,00;;106,00;
"RUA DOS  OPERÁRIOS";"local";355,00;;0,00;;355,00;
"RUA DOS  PALMITAIS";"local";110,00;;0,00;;110,00;
"RUA DOS  PEDREIROS";"local";354,00;;0,00;;354,00;
"RUA DOS  PESCADORES";"local";147,00;;0,00;;147,00;
"RUA DOS  PINHAIS (JARDIM NOSSO LAR)";"local";367,00;;0,00;;367,00;
"RUA DOS  PINHAIS (JARDIM PINHEIROS)";"local";519,00;;0,00;;519,00;
"RUA DOS  PORTUGUESES";"local";154,00;;0,00;;0,00;
"RUA DOS  VELEIROS";"local";154,00;;0,00;;154,00;
